epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,334.716,0.09923,0.11011,0.87147,0.99967,1,0.995,0.93121,0.41578,0.33821,0.77622,0.0011486,0.0011486,0.0011486
45,343.095,0.09949,0.10963,0.86903,0.99991,1,0.995,0.93273,0.42561,0.33173,0.78415,0.0011288,0.0011288,0.0011288
46,351.174,0.10263,0.11222,0.86958,0.99918,1,0.995,0.92097,0.42064,0.33861,0.75743,0.001109,0.001109,0.001109
47,363.121,0.09534,0.10553,0.86085,0.99962,1,0.995,0.92923,0.41635,0.3193,0.76216,0.0010892,0.0010892,0.0010892
48,371.132,0.09264,0.09973,0.86951,0.99961,1,0.995,0.93541,0.41818,0.32844,0.76069,0.0010694,0.0010694,0.0010694
49,381.603,0.08934,0.09693,0.86852,0.99968,1,0.995,0.92414,0.41493,0.32439,0.76001,0.0010496,0.0010496,0.0010496
50,391.215,0.09472,0.1012,0.8633,0.99964,1,0.995,0.92888,0.41706,0.33789,0.76482,0.0010298,0.0010298,0.0010298
51,403.478,0.09422,0.09844,0.86655,0.99959,1,0.995,0.91815,0.43385,0.35104,0.77817,0.00101,0.00101,0.00101
52,415.399,0.08522,0.09328,0.86604,0.99969,1,0.995,0.93055,0.41879,0.32712,0.7673,0.0009902,0.0009902,0.0009902
53,426.055,0.08079,0.09025,0.85628,0.99963,1,0.995,0.93043,0.42656,0.35542,0.7714,0.0009704,0.0009704,0.0009704
54,439.179,0.08308,0.09142,0.85915,0.9997,1,0.995,0.92771,0.42971,0.33734,0.77556,0.0009506,0.0009506,0.0009506
55,450.396,0.07933,0.08662,0.8567,0.9997,1,0.995,0.93471,0.42672,0.33764,0.76879,0.0009308,0.0009308,0.0009308
56,462.486,0.08003,0.08803,0.86239,1,0.99999,0.995,0.91702,0.43791,0.34065,0.77819,0.000911,0.000911,0.000911
57,473.85,0.08098,0.08701,0.86131,0.9997,1,0.995,0.92012,0.43057,0.33277,0.77524,0.0008912,0.0008912,0.0008912
58,484.422,0.07568,0.08521,0.86512,0.99958,1,0.995,0.92868,0.42727,0.34502,0.7747,0.0008714,0.0008714,0.0008714
59,497.225,0.07655,0.08663,0.86502,0.99967,1,0.995,0.92311,0.43663,0.34369,0.77417,0.0008516,0.0008516,0.0008516
60,507.607,0.07867,0.08665,0.86548,0.99986,1,0.995,0.93167,0.4243,0.34237,0.77767,0.0008318,0.0008318,0.0008318
61,519.294,0.07333,0.08492,0.86533,0.99965,1,0.995,0.92785,0.42135,0.3413,0.76784,0.000812,0.000812,0.000812
62,528.529,0.07016,0.08258,0.8652,0.99961,1,0.995,0.9388,0.42058,0.33777,0.76314,0.0007922,0.0007922,0.0007922
63,539.466,0.07168,0.08168,0.85794,0.99967,1,0.995,0.93074,0.43391,0.34895,0.77948,0.0007724,0.0007724,0.0007724
64,551.641,0.06641,0.08043,0.85963,0.99963,1,0.995,0.9327,0.42957,0.34175,0.77191,0.0007526,0.0007526,0.0007526
65,561.843,0.06679,0.07893,0.86266,0.99958,1,0.995,0.92928,0.42843,0.34681,0.7755,0.0007328,0.0007328,0.0007328
66,574.256,0.06106,0.0714,0.85633,0.99961,1,0.995,0.92994,0.43101,0.34885,0.77141,0.000713,0.000713,0.000713
67,586.224,0.06091,0.07048,0.85944,0.99967,1,0.995,0.93699,0.4275,0.34739,0.77487,0.0006932,0.0006932,0.0006932
68,598.703,0.06232,0.07363,0.85585,0.99989,1,0.995,0.93133,0.42748,0.35557,0.77514,0.0006734,0.0006734,0.0006734
69,609.211,0.05974,0.06984,0.84905,0.9997,1,0.995,0.9377,0.43009,0.35807,0.77595,0.0006536,0.0006536,0.0006536
70,621.734,0.06454,0.08067,0.86572,0.99964,1,0.995,0.92783,0.42264,0.35675,0.77002,0.0006338,0.0006338,0.0006338
71,634.569,0.06152,0.0696,0.86153,0.9996,1,0.995,0.92553,0.42865,0.35972,0.77228,0.000614,0.000614,0.000614
72,646.276,0.05574,0.06709,0.85356,0.99954,1,0.995,0.93413,0.42451,0.34067,0.77391,0.0005942,0.0005942,0.0005942
73,657.218,0.05656,0.0658,0.85801,0.99952,1,0.995,0.93269,0.43114,0.33673,0.77376,0.0005744,0.0005744,0.0005744
74,670.266,0.05768,0.0665,0.85231,0.99982,1,0.995,0.93565,0.43004,0.3506,0.77841,0.0005546,0.0005546,0.0005546
75,683.031,0.06197,0.07003,0.86221,0.99965,1,0.995,0.93527,0.43505,0.36998,0.7839,0.0005348,0.0005348,0.0005348
76,697.035,0.05788,0.06911,0.86049,0.99974,1,0.995,0.93082,0.42009,0.35443,0.76842,0.000515,0.000515,0.000515
77,711.329,0.05411,0.06515,0.86121,0.99991,1,0.995,0.93309,0.42527,0.3525,0.76747,0.0004952,0.0004952,0.0004952
78,724.878,0.0523,0.06355,0.85391,0.99998,1,0.995,0.92688,0.42089,0.36114,0.76877,0.0004754,0.0004754,0.0004754
79,737.824,0.04934,0.06222,0.86128,1,0.99987,0.995,0.93177,0.42131,0.35143,0.77084,0.0004556,0.0004556,0.0004556
80,751.981,0.0519,0.06342,0.85841,0.99982,1,0.995,0.93018,0.43079,0.3646,0.77718,0.0004358,0.0004358,0.0004358
81,765.334,0.04909,0.06073,0.86148,0.99971,1,0.995,0.93415,0.41486,0.35298,0.76518,0.000416,0.000416,0.000416
82,776.385,0.04824,0.0595,0.85178,0.99984,1,0.995,0.93225,0.42216,0.35924,0.76647,0.0003962,0.0003962,0.0003962
83,789.348,0.04524,0.05647,0.85457,0.99986,1,0.995,0.9319,0.41724,0.35425,0.77071,0.0003764,0.0003764,0.0003764
84,802.898,0.04195,0.05503,0.85923,0.99972,1,0.995,0.93002,0.42948,0.35752,0.77313,0.0003566,0.0003566,0.0003566
85,815.035,0.04232,0.0546,0.85696,0.99965,1,0.995,0.93688,0.41824,0.35647,0.76879,0.0003368,0.0003368,0.0003368
86,827.982,0.04143,0.05429,0.85697,0.99965,1,0.995,0.93142,0.43068,0.35666,0.7759,0.000317,0.000317,0.000317
87,840.75,0.04024,0.05433,0.86157,0.99967,1,0.995,0.93025,0.42797,0.36771,0.7777,0.0002972,0.0002972,0.0002972
88,852.249,0.04275,0.05692,0.85887,0.99969,1,0.995,0.92908,0.42192,0.36215,0.76915,0.0002774,0.0002774,0.0002774
89,864.125,0.03806,0.04977,0.8496,0.99972,1,0.995,0.92722,0.42225,0.35784,0.77187,0.0002576,0.0002576,0.0002576
