epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,389.089,0.12214,0.1295,0.8761,0.98329,0.9268,0.9653,0.78988,0.84298,0.6116,1.26419,0.0011882,0.0011882,0.0011882
43,402.226,0.1242,0.12616,0.87882,0.98866,0.92913,0.97337,0.80163,0.82132,0.56881,1.25208,0.0011684,0.0011684,0.0011684
44,411.818,0.10789,0.11759,0.87551,0.99088,0.92913,0.9822,0.81987,0.80332,0.543,1.22867,0.0011486,0.0011486,0.0011486
45,424.579,0.111,0.12212,0.8785,0.98168,0.92913,0.97689,0.80976,0.84588,0.57035,1.27806,0.0011288,0.0011288,0.0011288
46,437.021,0.10833,0.11511,0.86718,0.97504,0.92269,0.9762,0.8074,0.85323,0.56345,1.26786,0.001109,0.001109,0.001109
47,449.744,0.09816,0.10767,0.86528,0.9587,0.93701,0.97664,0.81475,0.83381,0.57958,1.24533,0.0010892,0.0010892,0.0010892
48,462.621,0.09703,0.10353,0.87247,0.96657,0.93701,0.96961,0.81293,0.81209,0.54836,1.22916,0.0010694,0.0010694,0.0010694
49,474.57,0.09646,0.10332,0.86998,0.97481,0.92913,0.9806,0.81015,0.81141,0.55436,1.21152,0.0010496,0.0010496,0.0010496
50,486.473,0.08849,0.09657,0.86799,0.99144,0.91235,0.96994,0.80856,0.81139,0.58389,1.23966,0.0010298,0.0010298,0.0010298
51,498.496,0.08543,0.09406,0.86832,0.95914,0.92415,0.96206,0.80386,0.80559,0.59464,1.21237,0.00101,0.00101,0.00101
52,509.628,0.08638,0.09407,0.86737,0.98223,0.92913,0.9746,0.8008,0.82001,0.61953,1.24742,0.0009902,0.0009902,0.0009902
53,521.445,0.09122,0.09459,0.86099,0.96757,0.94488,0.97846,0.80609,0.81,0.59258,1.23668,0.0009704,0.0009704,0.0009704
54,534.14,0.08723,0.09442,0.85727,0.98331,0.9281,0.98024,0.80783,0.81605,0.5712,1.22,0.0009506,0.0009506,0.0009506
55,546.842,0.07952,0.0906,0.86236,0.9862,0.92126,0.98093,0.81531,0.81056,0.56225,1.21369,0.0009308,0.0009308,0.0009308
56,559.588,0.08476,0.09233,0.86582,0.97491,0.92913,0.97959,0.81239,0.8164,0.56499,1.22262,0.000911,0.000911,0.000911
57,573.129,0.08088,0.08846,0.86114,0.98533,0.92126,0.97635,0.80191,0.80771,0.5766,1.22208,0.0008912,0.0008912,0.0008912
58,585.824,0.07638,0.08436,0.86353,0.9833,0.92738,0.97541,0.80902,0.81938,0.59128,1.23043,0.0008714,0.0008714,0.0008714
59,597.73,0.07815,0.08589,0.86666,0.97193,0.92913,0.9665,0.80712,0.82075,0.60533,1.22618,0.0008516,0.0008516,0.0008516
60,610.219,0.08463,0.08935,0.86339,0.97515,0.9271,0.96953,0.80059,0.83654,0.6009,1.24906,0.0008318,0.0008318,0.0008318
61,622.404,0.07799,0.08637,0.86678,0.98148,0.92126,0.97297,0.80094,0.83982,0.61995,1.26226,0.000812,0.000812,0.000812
62,634.763,0.07466,0.08394,0.86683,0.99159,0.92828,0.97009,0.80475,0.8385,0.6118,1.26279,0.0007922,0.0007922,0.0007922
63,648.495,0.07084,0.08252,0.86291,0.99144,0.91201,0.97002,0.8066,0.82517,0.60061,1.26972,0.0007724,0.0007724,0.0007724
64,661.006,0.06999,0.07843,0.86079,0.99143,0.91129,0.97476,0.80996,0.82944,0.5997,1.25608,0.0007526,0.0007526,0.0007526
65,675.462,0.06355,0.07849,0.85974,0.99164,0.90551,0.9677,0.81118,0.82227,0.60193,1.25457,0.0007328,0.0007328,0.0007328
66,689.433,0.06232,0.07366,0.86347,0.99103,0.90551,0.96738,0.80568,0.82102,0.61012,1.24679,0.000713,0.000713,0.000713
67,703.323,0.05789,0.07051,0.86159,0.99143,0.91121,0.96917,0.80583,0.81988,0.60844,1.24508,0.0006932,0.0006932,0.0006932
68,717.008,0.07215,0.08581,0.8659,0.98323,0.92326,0.97135,0.80986,0.83473,0.59427,1.2577,0.0006734,0.0006734,0.0006734
69,730.82,0.05946,0.07131,0.86401,0.98327,0.92572,0.97678,0.81357,0.8331,0.58976,1.26063,0.0006536,0.0006536,0.0006536
70,744.306,0.06144,0.07119,0.85804,0.97539,0.93633,0.98146,0.8101,0.83001,0.59028,1.26056,0.0006338,0.0006338,0.0006338
71,757.799,0.06045,0.0714,0.86298,0.97535,0.93486,0.97981,0.80241,0.82737,0.60767,1.26536,0.000614,0.000614,0.000614
72,770.411,0.06169,0.07025,0.86108,0.99145,0.91307,0.9727,0.80564,0.82124,0.59787,1.25186,0.0005942,0.0005942,0.0005942
73,784.435,0.06038,0.10447,0.86699,0.97497,0.92031,0.97492,0.80567,0.83451,0.6009,1.27545,0.0005744,0.0005744,0.0005744
74,797.418,0.05958,0.07175,0.86131,0.95343,0.90551,0.95475,0.77356,0.8612,0.65595,1.29564,0.0005546,0.0005546,0.0005546
75,810.417,0.05956,0.07027,0.86539,0.97249,0.91339,0.96082,0.77891,0.82841,0.65048,1.25422,0.0005348,0.0005348,0.0005348
76,824.002,0.06198,0.07139,0.85927,0.98877,0.92126,0.97576,0.80425,0.81835,0.61757,1.24671,0.000515,0.000515,0.000515
77,836.944,0.06247,0.07062,0.86507,0.98986,0.92126,0.9774,0.80264,0.82023,0.60268,1.25663,0.0004952,0.0004952,0.0004952
78,850.865,0.05497,0.06704,0.86104,0.98955,0.92913,0.97945,0.80634,0.80641,0.57749,1.24321,0.0004754,0.0004754,0.0004754
79,864.172,0.05222,0.0617,0.86144,0.998,0.92913,0.9798,0.81136,0.79973,0.58449,1.22683,0.0004556,0.0004556,0.0004556
80,877.646,0.05054,0.06334,0.86376,0.99865,0.92913,0.97765,0.81776,0.80037,0.59255,1.22705,0.0004358,0.0004358,0.0004358
81,891.704,0.0518,0.0625,0.86235,0.98944,0.92913,0.97421,0.8134,0.81014,0.60575,1.23178,0.000416,0.000416,0.000416
82,905.972,0.04962,0.06081,0.86476,1,0.92752,0.97571,0.81311,0.80635,0.59524,1.2363,0.0003962,0.0003962,0.0003962
83,920.492,0.04883,0.0601,0.86326,0.99776,0.92126,0.97502,0.8104,0.81015,0.60507,1.24359,0.0003764,0.0003764,0.0003764
84,935.313,0.04878,0.05906,0.86435,0.9906,0.92913,0.9762,0.8106,0.80772,0.61324,1.23483,0.0003566,0.0003566,0.0003566
85,949.711,0.04696,0.05872,0.85115,0.98348,0.92126,0.97706,0.81135,0.80528,0.61056,1.23296,0.0003368,0.0003368,0.0003368
86,963.711,0.04393,0.0564,0.8609,0.98323,0.92341,0.97561,0.81274,0.80454,0.61781,1.24071,0.000317,0.000317,0.000317
87,976.536,0.04341,0.05556,0.85927,0.98924,0.92126,0.97671,0.81673,0.80764,0.62335,1.24002,0.0002972,0.0002972,0.0002972
88,990.292,0.04409,0.05587,0.85631,0.99998,0.91339,0.97559,0.81856,0.80231,0.62367,1.23575,0.0002774,0.0002774,0.0002774
89,1001.75,0.04227,0.0534,0.85322,0.98902,0.92126,0.9749,0.81601,0.80163,0.62444,1.23337,0.0002576,0.0002576,0.0002576
90,1015.42,0.03917,0.05157,0.85929,0.98959,0.92126,0.97732,0.81759,0.80481,0.63365,1.23839,0.0002378,0.0002378,0.0002378
91,1057.15,0.03709,0.05055,0.85838,0.99178,0.91339,0.97447,0.8144,0.80799,0.63085,1.24522,0.000218,0.000218,0.000218
92,1063.39,0.0375,0.05099,0.85431,0.98331,0.92774,0.97753,0.81056,0.80726,0.62567,1.24176,0.0001982,0.0001982,0.0001982
93,1070.81,0.03589,0.04925,0.85711,0.9833,0.92732,0.97589,0.81374,0.80448,0.62334,1.23791,0.0001784,0.0001784,0.0001784
94,1077.87,0.03431,0.0473,0.85803,0.9897,0.92126,0.97492,0.81569,0.80214,0.62289,1.23353,0.0001586,0.0001586,0.0001586
95,1087.72,0.03335,0.04684,0.85618,0.99103,0.92126,0.97482,0.81054,0.80731,0.62239,1.24091,0.0001388,0.0001388,0.0001388
96,1097.73,0.0326,0.0457,0.85787,1,0.9172,0.97597,0.81691,0.8056,0.62514,1.24124,0.000119,0.000119,0.000119
97,1107.03,0.0357,0.04705,0.85897,0.99637,0.92126,0.97914,0.81811,0.804,0.62976,1.23864,9.92e-05,9.92e-05,9.92e-05
98,1118.07,0.02975,0.04288,0.86046,0.99632,0.92126,0.97709,0.818,0.80547,0.62804,1.24036,7.94e-05,7.94e-05,7.94e-05
99,1130.46,0.02982,0.04316,0.85933,0.99139,0.92126,0.97965,0.81867,0.80547,0.63189,1.24013,5.96e-05,5.96e-05,5.96e-05
100,1142.02,0.03142,0.04356,0.85497,0.99062,0.92126,0.97941,0.81779,0.8055,0.63553,1.23902,3.98e-05,3.98e-05,3.98e-05
